event_id;simID;index;Zone Air CO2 Concentration;Zone Mean Air Temperature;Zone Air Relative Humidity;Occupancy;Ventilation;BinaryOccupancy;Datetime;maxOccupants;_volume;presence_shift;event_start;presence_analysis;start_time;end_time;start_co2;end_co2;measurement_decay_constant
0;54;44;503.88;18.0;31.28;0.0;0.0;0;11/04  00:45:00;1.0;63.07;0;0;Ignore;;;;;
0;54;45;503.83;18.0;31.31;0.0;0.0;0;11/04  00:46:00;1.0;63.07;0;0;Ignore;;;;;
0;54;46;503.77;18.0;31.35;0.0;0.0;0;11/04  00:47:00;1.0;63.07;0;0;Ignore;;;;;
0;54;47;503.72;18.0;31.38;0.0;0.0;0;11/04  00:48:00;1.0;63.07;0;0;Ignore;;;;;
0;54;48;503.66;18.0;31.42;0.0;0.0;0;11/04  00:49:00;1.0;63.07;0;0;Ignore;;;;;
0;54;49;503.61;18.0;31.46;0.0;0.0;0;11/04  00:50:00;1.0;63.07;0;0;Ignore;;;;;
0;54;50;503.55;18.0;31.5;0.0;0.0;0;11/04  00:51:00;1.0;63.07;0;0;Ignore;;;;;
0;54;51;503.5;18.0;31.53;0.0;0.0;0;11/04  00:52:00;1.0;63.07;0;0;Ignore;;;;;
0;54;52;503.45;18.0;31.57;0.0;0.0;0;11/04  00:53:00;1.0;63.07;0;0;Ignore;;;;;
0;54;53;503.39;18.0;31.61;0.0;0.0;0;11/04  00:54:00;1.0;63.07;0;0;Ignore;;;;;
0;54;54;503.34;18.0;31.65;0.0;0.0;0;11/04  00:55:00;1.0;63.07;0;0;Ignore;;;;;
0;54;55;503.29;18.0;31.7;0.0;0.0;0;11/04  00:56:00;1.0;63.07;0;0;Ignore;;;;;
0;54;56;503.24;18.0;31.74;0.0;0.0;0;11/04  00:57:00;1.0;63.07;0;0;Ignore;;;;;
0;54;57;503.19;18.0;31.78;0.0;0.0;0;11/04  00:58:00;1.0;63.07;0;0;Ignore;;;;;
0;54;58;503.14;18.0;31.82;0.0;0.0;0;11/04  00:59:00;1.0;63.07;0;0;Ignore;;;;;
0;54;59;503.09;18.0;31.87;0.0;0.0;0;11/04  01:00:00;1.0;63.07;0;0;Ignore;;;;;
0;54;60;503.04;18.0;31.91;0.0;0.0;0;11/04  01:01:00;1.0;63.07;0;0;Ignore;;;;;
0;54;61;502.99;18.0;31.96;0.0;0.0;0;11/04  01:02:00;1.0;63.07;0;0;Ignore;;;;;
0;54;62;502.94;18.0;32.0;0.0;0.0;0;11/04  01:03:00;1.0;63.07;0;0;Ignore;;;;;
0;54;63;502.9;18.0;32.05;0.0;0.0;0;11/04  01:04:00;1.0;63.07;0;0;Ignore;;;;;
0;54;64;502.85;18.0;32.09;0.0;0.0;0;11/04  01:05:00;1.0;63.07;0;0;Ignore;;;;;
0;54;65;502.8;18.0;32.14;0.0;0.0;0;11/04  01:06:00;1.0;63.07;0;0;Ignore;;;;;
0;54;66;502.76;18.0;32.18;0.0;0.0;0;11/04  01:07:00;1.0;63.07;0;0;Ignore;;;;;
0;54;67;502.71;18.0;32.22;0.0;0.0;0;11/04  01:08:00;1.0;63.07;0;0;Ignore;;;;;
0;54;68;502.67;18.0;32.27;0.0;0.0;0;11/04  01:09:00;1.0;63.07;0;0;Ignore;;;;;
0;54;69;502.62;18.0;32.31;0.0;0.0;0;11/04  01:10:00;1.0;63.07;0;0;Ignore;;;;;
0;54;70;502.58;18.0;32.35;0.0;0.0;0;11/04  01:11:00;1.0;63.07;0;0;Ignore;;;;;
0;54;71;502.53;18.0;32.39;0.0;0.0;0;11/04  01:12:00;1.0;63.07;0;0;Ignore;;;;;
0;54;72;502.49;18.0;32.43;0.0;0.0;0;11/04  01:13:00;1.0;63.07;0;0;Ignore;;;;;
0;54;73;502.45;18.0;32.47;0.0;0.0;0;11/04  01:14:00;1.0;63.07;0;0;Ignore;;;;;
0;54;74;502.4;18.0;32.51;0.0;0.0;0;11/04  01:15:00;1.0;63.07;0;0;Ignore;;;;;
0;54;75;502.36;18.0;32.55;0.0;0.0;0;11/04  01:16:00;1.0;63.07;0;0;Ignore;;;;;
0;54;76;502.32;18.0;32.59;0.0;0.0;0;11/04  01:17:00;1.0;63.07;0;0;Ignore;;;;;
0;54;77;502.28;18.0;32.63;0.0;0.0;0;11/04  01:18:00;1.0;63.07;0;0;Ignore;;;;;
0;54;78;502.24;18.0;32.67;0.0;0.0;0;11/04  01:19:00;1.0;63.07;0;0;Ignore;;;;;
