temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
22.39,41.79,0.25,65.0,5424.652799999997,[2.2390000e+01 4.1790000e+01 2.5000000e-01 6.5000000e+01 5.4246528e+03],[-2.51066158 -0.77173164  0.          0.         -0.07594403],2
22.4,41.38,0.25,65.0,13441.440800000006,"[2.24000000e+01 4.13800000e+01 2.50000000e-01 6.50000000e+01
 1.34414408e+04]",[-2.48894743 -0.87816776  0.          0.          0.33655744],2
22.4,41.78,0.25,65.0,14438.102449999991,"[2.24000000e+01 4.17800000e+01 2.50000000e-01 6.50000000e+01
 1.44381024e+04]",[-2.48894743 -0.77432765  0.          0.          0.38784037],2
22.4,41.84,0.25,65.0,4800.040200000002,[2.2400000e+01 4.1840000e+01 2.5000000e-01 6.5000000e+01 4.8000402e+03],[-2.48894743 -0.75875163  0.          0.         -0.10808329],2
22.4,41.94,0.25,65.0,13901.113800000021,"[2.24000000e+01 4.19400000e+01 2.50000000e-01 6.50000000e+01
 1.39011138e+04]",[-2.48894743 -0.7327916   0.          0.          0.36020978],2
22.4,49.49,0.25,65.0,0.07220000000001987,[22.4    49.49    0.25   65.      0.0722],[-2.48894743  1.22719058  0.          0.         -0.35506423],0
22.42,41.77,0.25,65.0,718.2050000000035,[2.24200e+01 4.17700e+01 2.50000e-01 6.50000e+01 7.18205e+02],[-2.44551914 -0.77692365  0.          0.         -0.31811292],2
22.42,49.84,0.25,65.0,9.073799999999476,[22.42   49.84    0.25   65.      9.0738],[-2.44551914  1.31805068  0.          0.         -0.35460106],0
22.43,41.61,0.25,65.0,12346.489799999998,"[2.24300000e+01 4.16100000e+01 2.50000000e-01 6.50000000e+01
 1.23464898e+04]",[-2.42380499 -0.8184597   0.          0.          0.28021705],2
22.43,41.73,0.25,65.0,2160.2164500000013,"[2.24300000e+01 4.17300000e+01 2.50000000e-01 6.50000000e+01
 2.16021645e+03]",[-2.42380499 -0.78730766  0.          0.         -0.24391465],2
22.43,41.81,0.25,65.0,4158.719999999994,[2.24300e+01 4.18100e+01 2.50000e-01 6.50000e+01 4.15872e+03],[-2.42380499 -0.76653964  0.          0.         -0.14108223],2
22.43,41.85,0.25,65.0,1900.9778000000122,[2.2430000e+01 4.1850000e+01 2.5000000e-01 6.5000000e+01 1.9009778e+03],[-2.42380499 -0.75615563  0.          0.         -0.25725369],2
22.43,41.86,0.25,65.0,586.1887999999964,[2.243000e+01 4.186000e+01 2.500000e-01 6.500000e+01 5.861888e+02],[-2.42380499 -0.75355962  0.          0.         -0.32490578],2
22.43,41.87,0.25,65.0,9.03125,[22.43    41.87     0.25    65.       9.03125],[-2.42380499 -0.75096362  0.          0.         -0.35460325],2
22.43,41.91,0.25,65.0,7274.592199999986,[2.2430000e+01 4.1910000e+01 2.5000000e-01 6.5000000e+01 7.2745922e+03],[-2.42380499 -0.74057961  0.          0.          0.01924405],2
22.43,41.94,0.25,65.0,606.5644499999975,[2.2430000e+01 4.1940000e+01 2.5000000e-01 6.5000000e+01 6.0656445e+02],[-2.42380499 -0.7327916   0.          0.         -0.32385735],2
22.45,41.81,0.25,65.0,367.2050000000068,[2.24500e+01 4.18100e+01 2.50000e-01 6.50000e+01 3.67205e+02],[-2.38037669 -0.76653964  0.          0.         -0.33617352],2
22.45,41.82,0.25,65.0,260.1480500000014,[2.2450000e+01 4.1820000e+01 2.5000000e-01 6.5000000e+01 2.6014805e+02],[-2.38037669 -0.76394364  0.          0.         -0.34168211],2
22.45,41.86,0.25,65.0,185.66644999999966,[ 22.45     41.86      0.25     65.      185.66645],[-2.38037669 -0.75355962  0.          0.         -0.34551454],2
22.45,41.89,0.25,65.0,526.8258000000012,[2.245000e+01 4.189000e+01 2.500000e-01 6.500000e+01 5.268258e+02],[-2.38037669 -0.74577162  0.          0.         -0.32796028],2
22.45,41.94,0.25,65.0,34.362050000002526,[22.45    41.94     0.25    65.      34.36205],[-2.38037669 -0.7327916   0.          0.         -0.35329986],2
22.46,41.55,0.25,65.0,415.2961999999949,[2.246000e+01 4.155000e+01 2.500000e-01 6.500000e+01 4.152962e+02],[-2.35866254 -0.83403571  0.          0.         -0.333699  ],2
22.46,41.6,0.25,65.0,2173.382450000012,"[2.24600000e+01 4.16000000e+01 2.50000000e-01 6.50000000e+01
 2.17338245e+03]",[-2.35866254 -0.8210557   0.          0.         -0.24323719],2
22.46,41.68,0.25,65.0,218.4050000000019,[ 22.46   41.68    0.25   65.    218.405],[-2.35866254 -0.80028768  0.          0.         -0.34382998],2
22.46,41.89,0.25,65.0,1100.2740499999984,"[2.24600000e+01 4.18900000e+01 2.50000000e-01 6.50000000e+01
 1.10027405e+03]",[-2.35866254 -0.74577162  0.          0.         -0.29845367],2
22.46,41.99,0.25,65.0,560.4552000000006,[2.246000e+01 4.199000e+01 2.500000e-01 6.500000e+01 5.604552e+02],[-2.35866254 -0.71981159  0.          0.         -0.32622989],2
22.46,42.01,0.25,65.0,2.6134333333335915,[22.46       42.01        0.25       65.          2.61343333],[-2.35866254 -0.71461958  0.          0.         -0.35493347],2
22.46,42.16,0.25,65.0,3070.14480000001,[2.2460000e+01 4.2160000e+01 2.5000000e-01 6.5000000e+01 3.0701448e+03],[-2.35866254 -0.67567954  0.          0.         -0.19709455],2
22.47,41.87,0.25,65.0,18511.81853333335,"[2.24700000e+01 4.18700000e+01 2.50000000e-01 6.50000000e+01
 1.85118185e+04]",[-2.33694839 -0.75096362  0.          0.          0.59745223],2
22.47,41.89,0.25,65.0,6189.393800000012,[2.2470000e+01 4.1890000e+01 2.5000000e-01 6.5000000e+01 6.1893938e+03],[-2.33694839 -0.74577162  0.          0.         -0.03659451],2
22.47,42.0,0.25,65.0,1011.6024333333335,"[2.24700000e+01 4.20000000e+01 2.50000000e-01 6.50000000e+01
 1.01160243e+03]",[-2.33694839 -0.71721558  0.          0.         -0.30301624],2
22.47,49.29,0.25,65.0,0.0031999999999941793,[2.247e+01 4.929e+01 2.500e-01 6.500e+01 3.200e-03],[-2.33694839  1.17527052  0.          0.         -0.35506778],0
22.49,42.0,0.25,65.0,961.2506999999966,[2.249000e+01 4.200000e+01 2.500000e-01 6.500000e+01 9.612507e+02],[-2.29352009 -0.71721558  0.          0.         -0.30560708],2
22.49,42.01,0.25,65.0,552.4488000000041,[2.249000e+01 4.201000e+01 2.500000e-01 6.500000e+01 5.524488e+02],[-2.29352009 -0.71461958  0.          0.         -0.32664186],2
22.49,42.04,0.25,65.0,23814.348800000025,"[2.24900000e+01 4.20400000e+01 2.50000000e-01 6.50000000e+01
 2.38143488e+04]",[-2.29352009 -0.70683157  0.          0.          0.87029237],2
22.49,42.05,0.25,65.0,957.4688000000045,[2.249000e+01 4.205000e+01 2.500000e-01 6.500000e+01 9.574688e+02],[-2.29352009 -0.70423557  0.          0.         -0.30580167],2
22.49,49.66,0.25,65.0,0.016200000000031925,[2.249e+01 4.966e+01 2.500e-01 6.500e+01 1.620e-02],[-2.29352009  1.27132263  0.          0.         -0.35506711],0
