temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
21.0,23.11,0.0,63.07,0.31204999999997124,[21.      23.11     0.      63.07     0.31205],[-0.94529996 -1.23843629 -0.04311306 -0.48025223 -0.44676265],0
21.0,23.26,0.0,62.12,16.820000000000064,[21.   23.26  0.   62.12 16.82],[-0.94529996 -1.22815336 -0.04311306 -0.62335145  3.58510914],2
21.0,23.4,0.0,63.07,11.28125,[21.      23.4      0.      63.07    11.28125],[-0.94529996 -1.21855596 -0.04311306 -0.48025223  2.23233488],2
21.0,23.43,0.0,63.07,0.1624499999999637,[21.      23.43     0.      63.07     0.16245],[-0.94529996 -1.21649937 -0.04311306 -0.48025223 -0.48330068],0
21.0,23.45,0.0,63.07,2.2177000000001894,[21.     23.45    0.     63.07    2.2177],[-0.94529996 -1.21512831 -0.04311306 -0.48025223  0.01866985],0
21.0,23.48,0.0,63.07,7.955933333333612,[21.         23.48        0.         63.07        7.95593333],[-0.94529996 -1.21307173 -0.04311306 -0.48025223  1.42016556],2
21.0,23.49,0.0,63.07,3.0138999999999943,[21.     23.49    0.     63.07    3.0139],[-0.94529996 -1.2123862  -0.04311306 -0.48025223  0.2131323 ],0
21.0,23.49,0.0,68.56,0.2664500000000133,[21.      23.49     0.      68.56     0.26645],[-0.94529996 -1.2123862  -0.04311306  0.34671065 -0.45789991],0
21.0,23.53,0.0,63.07,4.9616666666667015,[21.         23.53        0.         63.07        4.96166667],[-0.94529996 -1.20964408 -0.04311306 -0.48025223  0.6888513 ],0
21.0,23.56,0.0,63.07,19.764233333333568,[21.         23.56        0.         63.07       19.76423333],[-0.94529996 -1.2075875  -0.04311306 -0.48025223  4.30420336],2
21.0,23.6,0.0,63.07,6.827033333332945,[21.         23.6         0.         63.07        6.82703333],[-0.94529996 -1.20484538 -0.04311306 -0.48025223  1.14444507],2
21.0,23.63,0.0,68.56,0.37844999999990503,[21.      23.63     0.      68.56     0.37845],[-0.94529996 -1.2027888  -0.04311306  0.34671065 -0.43054523],0
21.0,23.64,0.0,63.07,8.040049999999964,[21.      23.64     0.      63.07     8.04005],[-0.94529996 -1.20210327 -0.04311306 -0.48025223  1.44071007],2
21.0,23.74,0.0,63.07,19.593799999999945,[21.     23.74    0.     63.07   19.5938],[-0.94529996 -1.19524798 -0.04311306 -0.48025223  4.26257703],2
21.0,23.76,0.0,63.07,14.907899999999568,[21.     23.76    0.     63.07   14.9079],[-0.94529996 -1.19387692 -0.04311306 -0.48025223  3.11810131],2
21.0,23.82,0.0,63.07,16.957033333333303,[21.         23.82        0.         63.07       16.95703333],[-0.94529996 -1.18976375 -0.04311306 -0.48025223  3.61857792],2
21.0,23.91,0.0,63.07,7.449800000000272,[21.     23.91    0.     63.07    7.4498],[-0.94529996 -1.18359399 -0.04311306 -0.48025223  1.29654848],2
21.0,23.96,0.0,63.07,2.875900000000072,[21.     23.96    0.     63.07    2.8759],[-0.94529996 -1.18016635 -0.04311306 -0.48025223  0.17942743],0
21.0,23.99,0.0,63.07,17.633200000000723,[21.     23.99    0.     63.07   17.6332],[-0.94529996 -1.17810976 -0.04311306 -0.48025223  3.78372364],2
21.0,24.07,0.0,63.07,5.85623333333359,[21.         24.07        0.         63.07        5.85623333],[-0.94529996 -1.17262553 -0.04311306 -0.48025223  0.90733864],0
21.0,24.1,0.0,73.73,0.3674250000000787,[21.       24.1       0.       73.73      0.367425],[-0.94529996 -1.17056894 -0.04311306  1.12547169 -0.43323796],0
21.0,24.11,0.0,63.07,0.026450000000004182,[2.100e+01 2.411e+01 0.000e+00 6.307e+01 2.645e-02],[-0.94529996 -1.16988342 -0.04311306 -0.48025223 -0.51651708],0
21.0,24.12,0.0,63.07,0.08820000000003056,[21.     24.12    0.     63.07    0.0882],[-0.94529996 -1.16919789 -0.04311306 -0.48025223 -0.50143537],0
21.0,24.13,0.0,73.73,0.13005000000005335,[21.      24.13     0.      73.73     0.13005],[-0.94529996 -1.16851236 -0.04311306  1.12547169 -0.491214  ],0
21.0,24.18,0.0,73.73,0.2763333333332561,[21.         24.18        0.         73.73        0.27633333],[-0.94529996 -1.16508471 -0.04311306  1.12547169 -0.45548602],0
