temperature,humidity,ventilation rate,volume,CO2_variance
20.08,38.33,0.0,58.72,3.251249999999884
20.14,38.38,0.0,58.72,2.9767999999999946
20.32,32.63,0.0,68.56,0.5512500000000716
20.33,32.64,0.0,68.56,0.5407999999999622
20.46,31.52,0.0,70.51,0.7080500000000649
20.49,31.78,0.0,70.51,0.5408000000000213
20.54,31.82,0.0,70.51,0.47045000000002646
20.66,32.82,0.0,70.51,0.1104499999999861
20.69,32.81,0.0,70.51,0.10580000000001673
20.7,32.82,0.0,70.51,0.096800000000024
20.95,35.53,0.0,62.12,0.0032000000000078216
21.0,20.15,0.0,73.73,0.0024499999999955434
21.0,20.28,0.0,73.73,0.06845000000002271
21.0,20.44,0.0,73.73,0.2982249999999627
21.0,20.46,0.0,73.73,4.458799999999923
21.0,21.16,0.0,73.73,1.1400499999999862
21.0,21.26,0.0,73.73,0.20103333333331364
21.0,21.27,0.0,62.12,12.650450000000149
21.0,21.31,0.0,73.73,0.10124999999994372
21.0,21.51,0.0,62.12,1.3448000000000708
21.0,21.53,0.0,68.56,1.3447999999997913
21.0,21.56,0.0,68.56,1.185799999999944
21.0,21.68,0.0,68.56,1.0658000000000531
21.0,21.73,0.0,70.51,14.905800000000198
21.0,21.79,0.0,63.07,0.0012500000000005684
21.0,21.86,0.0,63.07,0.10580000000001673
21.0,21.89,0.0,62.12,7.960050000000036
21.0,22.25,0.0,62.12,0.2520500000000258
21.0,22.3,0.0,62.12,0.5555583333333646
21.0,22.51,0.0,68.56,11.472049999999825
21.0,22.59,0.0,68.56,11.418633333333604
21.0,22.62,0.0,68.56,4.032800000000413
21.0,22.65,0.0,68.56,4.032800000000413
21.0,22.74,0.0,68.56,11.28125
21.0,22.77,0.0,62.12,18.666049999999736
21.0,22.77,0.0,68.56,11.233799999999505
21.0,22.93,0.0,63.07,1.53125
21.0,23.11,0.0,63.07,0.31204999999997124
21.0,23.26,0.0,62.12,16.820000000000064
21.0,23.4,0.0,63.07,11.28125
21.0,23.43,0.0,63.07,0.1624499999999637
21.0,23.45,0.0,63.07,2.2177000000001894
21.0,23.48,0.0,63.07,7.955933333333612
21.0,23.49,0.0,63.07,3.0138999999999943
21.0,23.49,0.0,68.56,0.2664500000000133
21.0,23.53,0.0,63.07,4.9616666666667015
21.0,23.56,0.0,63.07,19.764233333333568
21.0,23.6,0.0,63.07,6.827033333332945
21.0,23.63,0.0,68.56,0.37844999999990503
21.0,23.64,0.0,63.07,8.040049999999964
21.0,23.74,0.0,63.07,19.593799999999945
21.0,23.76,0.0,63.07,14.907899999999568
21.0,23.82,0.0,63.07,16.957033333333303
21.0,23.91,0.0,63.07,7.449800000000272
21.0,23.96,0.0,63.07,2.875900000000072
21.0,23.99,0.0,63.07,17.633200000000723
21.0,24.07,0.0,63.07,5.85623333333359
21.0,24.1,0.0,73.73,0.3674250000000787
21.0,24.11,0.0,63.07,0.026450000000004182
21.0,24.12,0.0,63.07,0.08820000000003056
21.0,24.13,0.0,73.73,0.13005000000005335
21.0,24.18,0.0,73.73,0.2763333333332561
21.0,24.24,0.0,63.07,12.954050000000452
21.0,24.25,0.0,73.73,0.11520000000000873
21.0,24.28,0.0,73.73,0.011249999999962483
21.0,24.36,0.0,63.07,5.678450000000207
21.0,24.67,0.0,62.12,5.6112499999998855
21.0,24.72,0.0,63.07,3.9761999999998205
21.0,24.8,0.0,63.07,7.880450000000108
21.0,24.89,0.0,73.73,1.5842000000001537
21.0,25.05,0.0,63.07,0.19844999999996132
21.0,25.15,0.0,62.12,0.8844499999999033
21.0,25.2,0.0,63.07,0.08820000000003056
21.0,25.49,0.0,62.12,0.03125
21.0,25.51,0.0,70.51,0.02880000000000218
21.0,25.52,0.0,70.51,0.02880000000000218
21.0,25.54,0.0,73.73,0.03456666666669676
21.0,25.55,0.0,70.51,0.016200000000001227
21.0,25.55,0.0,73.73,0.1624444444443915
21.0,25.56,0.0,73.73,12.243121818181901
21.0,25.57,0.0,70.51,0.014449999999983379
21.0,25.57,0.0,73.73,13.304488888888823
21.0,25.59,0.0,70.51,0.012800000000004003
21.0,25.59,0.0,73.73,0.2070214285714058
21.0,25.67,0.0,73.73,0.8192000000001106
21.0,25.72,0.0,73.73,2.7876333333332566
21.0,25.74,0.0,63.07,10.913699999999793
21.0,25.79,0.0,73.73,0.01445000000001237
21.0,25.83,0.0,73.73,0.012799999999976717
21.0,25.89,0.0,73.73,0.011249999999996589
21.0,25.92,0.0,73.73,0.009800000000029922
21.0,25.94,0.0,63.07,0.31205000000001615
21.0,26.12,0.0,62.12,2.2049999999999286
21.0,26.14,0.0,68.56,15.961250000000513
21.0,26.27,0.0,63.07,2.2260500000001486
21.0,26.34,0.0,63.07,10.488199999999926
21.0,26.47,0.0,63.07,1.1100500000000135
21.0,26.61,0.0,62.12,0.06479999999998445
